Type,Front,Back,Tags
"Basic","What's the advantage of array over dict for trie children?","Faster access O(1) vs O(1) average, but uses more space for sparse data","tries::concept"
"Cloze","Trie node with word storage: {{c1::self.word = None}} set to actual word at end","","tries::code"
"Cloze","Trie with prefix count: {{c1::self.prefix_count = 0}} increment on insert path","","tries::code"
"Basic","How to implement autocomplete with Trie?","Find prefix node, DFS to collect all words below, sort by frequency","tries::concept"
"Cloze","Longest word that can be built: {{c1::DFS only through nodes where is_end is True}}","","tries::code"
"Basic","Longest Word in Dictionary: Longest word buildable one char at a time. Approach?","Trie with DFS only through is_end nodes","tries::problem"
"Cloze","Replace words with root: {{c1::for each word, traverse trie, return root if found before word ends}}","","tries::code"
"Basic","Replace Words: Replace words with their shortest root. Approach?","Build trie of roots, for each word find shortest matching prefix","tries::problem"
"Cloze","Sum of prefix scores: {{c1::track count at each node during insert, sum counts along path during query}}","","tries::code"
"Basic","Sum of Prefix Scores: Sum of prefix matches for each word. Approach?","Trie with count at each node","tries::problem"
"Cloze","Complete Trie Implementation:<br>class TrieNode:<br>    def __init__(self):<br>        {{c1::self.children = {}}}<br>        {{c2::self.is_end = False}}<br><br>class Trie:<br>    def __init__(self):<br>        {{c3::self.root = TrieNode()}}<br>    <br>    def insert(self, word):<br>        {{c4::node = self.root}}<br>        for char in word:<br>            {{c5::if char not in node.children:}}<br>                {{c6::node.children[char] = TrieNode()}}<br>            {{c7::node = node.children[char]}}<br>        {{c8::node.is_end = True}}<br>    <br>    def search(self, word):<br>        node = self._find(word)<br>        {{c9::return node is not None and node.is_end}}<br>    <br>    def startsWith(self, prefix):<br>        {{c10::return self._find(prefix) is not None}}<br>    <br>    def _find(self, prefix):<br>        node = self.root<br>        for char in prefix:<br>            if char not in node.children:<br>                return None<br>            node = node.children[char]<br>        return node","","tries::implementation"
"Cloze","Complete Wildcard Search (Design Add and Search Words):<br>def search(self, word):<br>    def dfs(node, i):<br>        {{c1::if i == len(word): return node.is_end}}<br>        {{c2::if word[i] == '.':}}<br>            {{c3::return any(dfs(child, i + 1) for child in node.children.values())}}<br>        {{c4::if word[i] not in node.children: return False}}<br>        {{c5::return dfs(node.children[word[i]], i + 1)}}<br>    return dfs(self.root, 0)","","tries::implementation"
"Cloze","Complete Word Search II (Trie + Backtracking):<br>def findWords(board, words):<br>    # Build Trie<br>    {{c1::root = TrieNode()}}<br>    for word in words:<br>        node = root<br>        for c in word:<br>            if c not in node.children: node.children[c] = TrieNode()<br>            node = node.children[c]<br>        {{c2::node.word = word}}  # Store word at end<br>    <br>    result = []<br>    {{c3::directions = [(0,1), (0,-1), (1,0), (-1,0)]}}<br>    <br>    def dfs(r, c, node):<br>        {{c4::if node.word:}}<br>            {{c5::result.append(node.word); node.word = None}}  # Avoid duplicates<br>        {{c6::temp, board[r][c] = board[r][c], '#'}}<br>        for dr, dc in directions:<br>            nr, nc = r + dr, c + dc<br>            {{c7::if 0 <= nr < len(board) and 0 <= nc < len(board[0]) and board[nr][nc] in node.children:}}<br>                dfs(nr, nc, node.children[board[nr][nc]])<br>        {{c8::board[r][c] = temp}}<br>    <br>    for r in range(len(board)):<br>        for c in range(len(board[0])):<br>            {{c9::if board[r][c] in root.children:}}<br>                dfs(r, c, root.children[board[r][c]])<br>    return result","","tries::implementation"
"Basic","Trie key insight: Why use dictionary for children?","Flexible for any character set, sparse representation, O(1) lookup","tries::insight"
"Basic","Trie key insight: When to store word at node vs reconstruct?","Store word when you need it during DFS (Word Search II). Reconstruct when memory is concern.","tries::insight"
"Basic","Trie edge case: empty string?","Handled naturally - root.is_end = True for empty string","tries::edge_case"
"Basic","Trie edge case: duplicate words?","Insert is idempotent - just marks is_end again","tries::edge_case"
