Type,Front,Back,Tags
"Basic","Binary Search: Find target in sorted array. Approach?","Standard binary search with left <= right","binary_search::problem"
"Basic","Search in Rotated Sorted Array: Find target in rotated array. Approach?","Binary search, check which half is sorted, narrow accordingly","binary_search::problem"
"Basic","Find Minimum in Rotated Sorted Array: Find min element. Approach?","Binary search comparing mid with right boundary","binary_search::problem"
"Basic","Find Peak Element: Find any peak. Approach?","Binary search moving toward higher neighbor","binary_search::problem"
"Basic","Search a 2D Matrix: Search in row-sorted matrix. Approach?","Treat as 1D array, binary search with index conversion","binary_search::problem"
"Basic","Koko Eating Bananas: Min speed to eat all in h hours. Approach?","Binary search on speed (1 to max pile)","binary_search::problem"
"Basic","Find First and Last Position: Range of target in sorted array. Approach?","Two binary searches: bisect_left and bisect_right - 1","binary_search::problem"
"Basic","Time Based Key-Value Store: Get value at or before timestamp. Approach?","Store (timestamp, value) list per key, binary search","binary_search::problem"
"Basic","Median of Two Sorted Arrays: Find median in O(log(m+n)). Approach?","Binary search on partition of smaller array","binary_search::problem"
"Basic","Time complexity of Search in Rotated Array?","O(log n)","binary_search::complexity"
"Basic","Time complexity of Koko Eating Bananas?","O(n log m) where m is max pile size","binary_search::complexity"
"Basic","Time complexity of Median of Two Sorted Arrays?","O(log(min(m, n)))","binary_search::complexity"
"Basic","Why use left + (right - left) // 2 instead of (left + right) // 2?","Prevents integer overflow in languages with fixed-size integers","binary_search::concept"
"Basic","When to use left < right vs left <= right?","left < right: searching for boundary. left <= right: searching for exact value","binary_search::concept"
"Basic","What's the difference between bisect_left and bisect_right when element exists?","bisect_left returns index of element, bisect_right returns index after element","binary_search::concept"
"Cloze","Binary search invariant: answer is always in {{c1::[left, right]}} range","","binary_search::concept"
"Cloze","For finding minimum valid answer, use {{c1::left = mid + 1}} when invalid, {{c2::right = mid}} when valid","","binary_search::concept"
"Cloze","For finding maximum valid answer, use {{c1::left = mid}} when valid, {{c2::right = mid - 1}} when invalid","","binary_search::concept"
"Cloze","Capacity to ship - days needed: {{c1::days = 1; load = 0; for w in weights: if load + w > capacity: days += 1; load = 0; load += w}}","","binary_search::code"
"Basic","Capacity To Ship Packages: Min capacity to ship in d days. Approach?","Binary search on capacity (max weight to sum of weights)","binary_search::problem"
"Basic","Split Array Largest Sum: Minimize largest subarray sum with m splits. Approach?","Binary search on answer, greedy check if m splits achieve it","binary_search::problem"
"Cloze","Square root integer: {{c1::while left <= right: mid = (left + right) // 2; if mid * mid <= x: left = mid + 1; return left - 1}}","","binary_search::code"
"Basic","Sqrt(x): Integer square root. Approach?","Binary search on answer space [0, x]","binary_search::problem"
"Cloze","Complete standard binary search:<br>def binary_search(arr, target):<br>    {{c1::left, right = 0, len(arr) - 1}}<br>    {{c2::while left <= right:}}<br>        mid = (left + right) // 2<br>        {{c3::if arr[mid] == target: return mid}}<br>        {{c4::elif arr[mid] < target: left = mid + 1}}<br>        {{c5::else: right = mid - 1}}<br>    return -1","","binary_search::implementation"
"Cloze","Find FIRST occurrence (lower bound):<br>def first_occurrence(arr, target):<br>    left, right = 0, len(arr) - 1<br>    result = -1<br>    while left <= right:<br>        mid = (left + right) // 2<br>        {{c1::if arr[mid] == target: result = mid; right = mid - 1}}<br>        elif arr[mid] < target: left = mid + 1<br>        else: right = mid - 1<br>    return result","","binary_search::implementation"
"Cloze","Find LAST occurrence (upper bound):<br>def last_occurrence(arr, target):<br>    left, right = 0, len(arr) - 1<br>    result = -1<br>    while left <= right:<br>        mid = (left + right) // 2<br>        {{c1::if arr[mid] == target: result = mid; left = mid + 1}}<br>        elif arr[mid] < target: left = mid + 1<br>        else: right = mid - 1<br>    return result","","binary_search::implementation"
"Cloze","Search space binary search (find minimum valid):<br>def search_space(lo, hi, is_valid):<br>    {{c1::while lo < hi:}}<br>        mid = (lo + hi) // 2<br>        {{c2::if is_valid(mid): hi = mid}}<br>        {{c3::else: lo = mid + 1}}<br>    {{c4::return lo}}","","binary_search::implementation"
"Cloze","Search space binary search (find maximum valid):<br>def search_space(lo, hi, is_valid):<br>    {{c1::while lo < hi:}}<br>        {{c2::mid = (lo + hi + 1) // 2}}  # Note: +1 to avoid infinite loop<br>        {{c3::if is_valid(mid): lo = mid}}<br>        {{c4::else: hi = mid - 1}}<br>    {{c5::return lo}}","","binary_search::implementation"
"Basic","Binary search key insight: What are the 3 templates?","1) left <= right (exact match), 2) left < right with hi=mid (find first valid), 3) left < right with lo=mid (find last valid)","binary_search::insight"
"Basic","Why use mid = lo + (hi - lo) // 2 vs (lo + hi + 1) // 2?","Without +1: biased toward lo (for find first). With +1: biased toward hi (for find last, avoids infinite loop when lo=mid)","binary_search::insight"
"Basic","Binary search edge case: empty array?","Check if len(arr) == 0 at start, return -1","binary_search::edge_case"
"Basic","Binary search edge case: single element?","Works correctly - left=right=0, checks once","binary_search::edge_case"
"Basic","Binary search edge case: target smaller/larger than all?","Returns -1 (exact) or insertion point (bound search)","binary_search::edge_case"
